Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Mới Chevrolet Cruze LTZ 2018,699 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hãng Khác Xe Tải 1T 2017,284 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2017,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới KIA Cerato SMT 2018,499 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Cruze LT 2018,589 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Suzuki Carry Truck 2018,249 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Xe tải,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Nissan X-Trail 2.0 MID 2018,860 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2018,RWD: Cầu sau,Nâu,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Colorado 2.8L AT 2018,809 triệu,Mới,0 km,Số tự động,Dầu,Cá nhân,Bán tải,2018,4WD: 4 bánh,Đỏ,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Cruze LT MT 1.6 L 2018,589 triệu,Mới,0 km,Số sàn,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Spark LS 1.2L 2018,359 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới THACO FRONTIER K200 2018,343 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Vios 1.5G 2018,537 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Cruze LTZ 2018,699 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Mazda 3 1.5L 2018,659 triệu,Mới,10 km,Số tự động,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Peugeot 5008 Cao Cấp 2019,1.399 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới KIA Morning 2018,290 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Suzuki Carry Pro 2017,312 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Xe tải nhỏ,2017,RWD: Cầu sau,Bạc,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hyundai HD 65 2018,250 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới HOWO Ben Sinotruk 6.5 Tấn 2017,413 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2017,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Nissan Teana 2.5Sl 2017,1.17 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2017,FWD: Cầu trước,Bạc,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Vios G 2017,565 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2017,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Nissan X-Trail 2.0 SL PREMIUM 2018,913 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2018,FWD: Cầu trước,Đen,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới HOWO Ben 6.5T 2018,400 triệu,Mới,0 km,Số tự động,Dầu,Cá nhân,Xe tải,2018,4WD: 4 bánh,Xanh,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hyundai HD 99 2017,730 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2017,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Volkswagen Jetta Mới 2016,899 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2016,FWD: Cầu trước,Xanh,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Volkswagen Passat 2017,1.45 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2017,FWD: Cầu trước,Đen,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Suzuki Ertiga AT 2017,630 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2017,FWD: Cầu trước,Bạc,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Volkswagen New Sharan 2.0L TSI 2017,1.85 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,MPV,2017,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Nissan X-Trail SV 2.5L 4WD 2018,1 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2018,4WD: 4 bánh,Đen,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Ford EcoSport MT 2018,545 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,SUV,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
